"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES"
"USC00014209","JACKSONVILLE, AL US","33.82585","-85.78115","192.0","2026-06-01",,,"0.04",",,H,0730",,,,,,,,,,,,,,,,,,,,
"USC00014209","JACKSONVILLE, AL US","33.82585","-85.78115","192.0","2026-06-02",,,"1.01",",,H,0730",,,,,,,,,,,,,,,,,,,,
"USC00014209","JACKSONVILLE, AL US","33.82585","-85.78115","192.0","2026-06-03",,,"0.00",",,H,0730",,,,,,,,,,,,,,,,,,,,
"USC00014209","JACKSONVILLE, AL US","33.82585","-85.78115","192.0","2026-06-04",,,"0.00",",,H,0730",,,,,,,,,,,,,,,,,,,,
"USC00014209","JACKSONVILLE, AL US","33.82585","-85.78115","192.0","2026-06-05",,,"0.00",",,H,0730",,,,,,,,,,,,,,,,,,,,
"USW00073803","TALLADEGA 10 NNE, AL US","33.5721","-86.0573","160.0","2026-06-01",,,"0.31",",,R",,,,,"88",",,R","65",",,R",,,,,,,,,,,,
"USW00073803","TALLADEGA 10 NNE, AL US","33.5721","-86.0573","160.0","2026-06-02",,,"0.00",",,R",,,,,"83",",,R","65",",,R",,,,,,,,,,,,
"USW00073803","TALLADEGA 10 NNE, AL US","33.5721","-86.0573","160.0","2026-06-03",,,"0.00",",,R",,,,,"81",",,R","60",",,R",,,,,,,,,,,,
"USW00073803","TALLADEGA 10 NNE, AL US","33.5721","-86.0573","160.0","2026-06-04",,,"0.00",",,R",,,,,"83",",,R","54",",,R",,,,,,,,,,,,
"USW00073803","TALLADEGA 10 NNE, AL US","33.5721","-86.0573","160.0","2026-06-05",,,"0.00",",,R",,,,,"84",",,R","57",",,R",,,,,,,,,,,,
"US1ALCN0008","WEAVER 0.7 NW, AL US","33.76227","-85.818171","212.8","2026-06-01",,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,
"US1ALCN0008","WEAVER 0.7 NW, AL US","33.76227","-85.818171","212.8","2026-06-02",,,"2.02",",,N",,,,,,,,,,,,,,,,,,,,
"US1ALCN0008","WEAVER 0.7 NW, AL US","33.76227","-85.818171","212.8","2026-06-03",,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1ALCN0008","WEAVER 0.7 NW, AL US","33.76227","-85.818171","212.8","2026-06-04",,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1ALCN0008","WEAVER 0.7 NW, AL US","33.76227","-85.818171","212.8","2026-06-05",,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1ALCN0019","ALEXANDRIA 1.6 E, AL US","33.77015","-85.85927","191.7","2026-06-01",,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,
"US1ALCN0019","ALEXANDRIA 1.6 E, AL US","33.77015","-85.85927","191.7","2026-06-02",,,"1.51",",,N",,,,,,,,,,,,,,,,,,,,
"US1ALCN0019","ALEXANDRIA 1.6 E, AL US","33.77015","-85.85927","191.7","2026-06-03",,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1ALCN0019","ALEXANDRIA 1.6 E, AL US","33.77015","-85.85927","191.7","2026-06-04",,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1ALCN0019","ALEXANDRIA 1.6 E, AL US","33.77015","-85.85927","191.7","2026-06-05",,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"USW00013871","ANNISTON METROPOLITAN AIRPORT, AL US","33.59043","-85.84788","181.8","2026-06-01","3.58",",,1","0.17",",,1,2400","0.0",",,1","0.0",",,1","86",",,1","66",",,1","  360",",,1","   10",",,1","34.9",",,1","55.9",",,1","    1",",,1","    1",",,1"
"USW00013871","ANNISTON METROPOLITAN AIRPORT, AL US","33.59043","-85.84788","181.8","2026-06-02","5.82",",,1","0.00",",,1,2400","0.0",",,1","0.0",",,1","84",",,1","65",",,1","   70",",,1","   60",",,1","14.1",",,1","19.9",",,1","    1",",,1",,
"USW00013871","ANNISTON METROPOLITAN AIRPORT, AL US","33.59043","-85.84788","181.8","2026-06-03","5.82",",,1","0.00",",,1,2400","0.0",",,1",,,"81",",,1","59",",,1","   50",",,1","  100",",,1","15.0",",,1","23.0",",,1",,,,
"USW00013871","ANNISTON METROPOLITAN AIRPORT, AL US","33.59043","-85.84788","181.8","2026-06-04","4.03",",,1","0.00",",,1,2400","0.0",",,1",,,"82",",,1","57",",,1","  110",",,1","   70",",,1","10.1",",,1","19.0",",,1",,,,
"USW00013871","ANNISTON METROPOLITAN AIRPORT, AL US","33.59043","-85.84788","181.8","2026-06-05","2.91",",,1","0.00",",,1,2400","0.0",",,1",,,"83",",,1","58",",,1","  190",",,1","  200",",,1","8.9",",,1","13.0",",,1",,,,
